Palabra,Peso TF-IDF
ai,0.07607327561140217
generative,0.048340541162913725
genai,0.04513198039980679
intelligence,0.04260225211946232
artificial,0.04257169131372068
learning,0.033358455956061975
gai,0.0317727668375162
research,0.03162151711333577
study,0.028306123013219515
education,0.027887437852483484
data,0.027580419953091687
design,0.02526869943110848
tools,0.025036253460162472
models,0.02442942087446594
use,0.02113594199026785
