Palabra,Frecuencia
ai literacy,38
machine learning,17
privacy,16
transparency,14
ethics,11
generative models,6
training data,5
personalization,4
explainability,3
multimodality,3
co-creation,3
prompting,3
algorithmic bias,2
fine-tuning,2
human-ai interaction,0
